LGA/Quarter,Jun 1999,Sep 1999,Dec 1999,Mar 2000,Jun 2000,Sep 2000,Dec 2000,Mar 2001,Jun 2001,Sep 2001,Dec 2001,Mar 2002,Jun 2002,Sep 2002,Dec 2003,Mar 2003,Jun 2003,Sep 2003,Dec 2003,Mar 2004,Jun 2004,Sep 2004,Dec 2004,Mar 2005,Jun 2005,Sep 2005,Dec 2005,Mar 2006,Jun 2006,Sep 2006,Dec 2006,Mar 2007,Jun 2007,Sep 2007,Dec 2007,Mar 2008,Jun 2008,Sep 2008,Dec 2008,Mar 2009,Jun 2009,Sep 2009,Dec 2009,Mar 2010,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021
Colac-Otway,68,75,80,80,75,80,83,85,90,85,95,95,-,95,100,115,118,105,115,110,110,110,105,115,115,115,125,115,130,130,-,133,138,135,140,145,145,148,150,130,150,150,165,150,160,153,150,168,165,165,150,170,165,170,185,160,185,150,180,165,175,190,190,190,168,165,180,180,178,195,195,195,195,190,200,190,203,205,205,205,214,210,215,253,230,225,223,230,230
Corangamite,-,60,-,-,-,55,-,-,-,-,-,-,-,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,130,135,-,-,-,-,-,100,-,-,180,-,-,-,-,-,-,-,120,-,-,-,-,123,-,-,-,-,-,-,-,-,-,-,-,-,-,168,190,403,210,143,180,.,195,225,225,.,.
Glenelg,65,-,70,80,74,70,75,85,85,85,83,88,85,90,88,95,90,95,100,90,-,-,110,100,100,100,90,100,-,105,-,-,115,110,120,195,130,123,145,150,130,-,125,120,125,125,-,150,120,140,125,140,-,135,140,150,-,138,145,-,150,-,170,178,135,148,155,135,-,148,150,160,150,160,160,160,148,150,153,193,173,235,170,170,200,175,180,350,235
Greater Geelong,80,80,80,85,85,85,85,90,90,90,90,90,90,95,95,95,95,95,100,100,100,100,110,105,105,105,105,110,110,115,115,120,120,125,125,135,130,140,145,145,150,150,150,160,163,160,170,180,175,180,185,185,190,190,195,190,200,190,200,200,210,200,200,210,195,210,210,210,210,210,210,215,210,215,215,225,210,225,220,230,225,238,240,260,252,250,250,265,250
Moyne,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Queenscliffe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Southern Grampians,65,68,70,68,70,75,75,73,75,75,68,80,75,75,75,80,80,85,80,88,90,90,-,95,90,100,92,130,123,98,100,100,115,95,103,113,108,113,100,120,108,120,103,120,120,105,120,110,130,150,125,120,150,150,130,150,135,130,145,120,-,140,-,130,-,140,137,130,145,130,150,140,150,150,135,150,150,140,160,158,200,160,150,160,165,150,180,170,190
Surf Coast,100,92,100,118,100,103,90,100,100,120,110,115,120,135,120,115,115,-,-,130,113,-,153,-,145,153,145,-,-,150,148,160,163,-,170,-,170,175,160,178,165,180,220,200,215,198,195,200,225,230,200,225,-,260,215,220,-,215,250,228,220,240,-,210,-,220,220,-,243,225,-,280,-,250,300,265,265,-,-,-,-,-,-,-,-,-,-,-,-
Warrnambool,75,75,75,80,70,80,80,80,80,80,85,85,90,90,90,95,90,100,110,98,85,100,110,113,100,75,110,123,120,120,100,120,123,130,110,135,125,130,98,125,120,160,140,170,140,150,160,160,135,158,128,170,155,165,170,140,155,165,200,180,200,170,200,200,170,200,203,170,190,193,200,170,190,195,200,193,185,212,220,215,200,220,200,230,230,230,260,270,195
Group Total,80,80,80,85,85,85,85,85,85,89,90,90,90,90,90,95,95,95,100,100,100,100,110,105,105,105,105,115,115,115,115,120,120,120,125,135,130,140,140,145,150,150,150,160,160,160,160,170,170,178,180,180,180,185,185,185,190,190,190,200,200,200,200,200,195,200,200,200,200,200,210,210,210,210,210,220,205,220,220,230,220,230,230,255,250,250,250,265,250
Ararat,-,-,-,-,68,80,75,75,-,-,80,83,-,80,-,-,80,80,-,80,-,-,-,-,-,-,-,90,-,-,-,-,85,-,-,100,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,124,-,-,-,140,-,-,-,-,-,-,-,-,-,-,-,-,140,-,-,-,-,-,-,-,-,158,.,200,170,170,170,.,170,170,170,170,183
Ballarat,80,80,80,80,80,85,85,85,85,85,90,85,90,90,95,90,95,98,100,95,100,95,100,105,100,100,105,105,108,110,110,110,110,115,115,115,120,120,120,130,130,130,130,130,145,140,135,140,148,140,150,150,150,160,150,156,160,160,160,160,155,155,160,168,160,165,170,165,165,165,165,170,180,170,175,170,175,175,185,185,189,185,190,198,190,195,190,210,203
